S_No,Brand,Category,Model_Name,MRP_Price,Image_URL,Image_Status,Match_Notes
"3","Haier","Air Conditioners","HSU-14HFTEX/013/023WUSDC(DG)-T3 Plus","118220","","NOT_FOUND","Core model number 14 not listed on pak-electronics.pk"
"4","Haier","Air Conditioners","HSU-13HFAB/013/23WUSDC(W)-T3 Pro","105508","","NOT_FOUND","Core model number 13 not listed on pak-electronics.pk"
"5","Haier","Air Conditioners","HSU-13HFAB/013/23WUSDC(Grey)-T3 Pro","108898","","NOT_FOUND","Core model number 13 not listed on pak-electronics.pk"
"6","Haier","Air Conditioners","HSU-13HFS/013/23WDC(G)/(S)-Super T3","107203","","NOT_FOUND","Core model number 13 not listed on pak-electronics.pk"
"7","Haier","Air Conditioners","HSU-13HFS/013/23WDC(W)-Super T3","103814","","NOT_FOUND","Core model number 13 not listed on pak-electronics.pk"
"8","Haier","Air Conditioners","HSU-13HFN/013WDC(W)-T3","100424","","NOT_FOUND","Core model number 13 not listed on pak-electronics.pk"
"9","Haier","Air Conditioners","HSU-13HFPA/013WUSDC(G-S-B,SG)","100000","","NOT_FOUND","Core model number 13 not listed on pak-electronics.pk"
"10","Haier","Air Conditioners","HSU-13HFCS/CA/CP013/33/23USDC(W)-SG","95339","","NOT_FOUND","Core model number 13 not listed on pak-electronics.pk"
"11","Haier","Air Conditioners","HSU-13RFP/023DC(W)","93644","","NOT_FOUND","Core model number 13 not listed on pak-electronics.pk"
"12","Haier","Air Conditioners","HSU-13LFCM/013/23DC(W)","84322","","NOT_FOUND","Core model number 13 not listed on pak-electronics.pk"
"13","Haier","Air Conditioners","HSU-13LF-SUPREME/023DC(W)","84322","","NOT_FOUND","Core model number 13 not listed on pak-electronics.pk"
"14","Haier","Air Conditioners","HSU-13LF-PRIME/023DC(W)","84322","","NOT_FOUND","Core model number 13 not listed on pak-electronics.pk"
"15","Haier","Air Conditioners","HSU-12CFCP/023L(W)","76695","","NOT_FOUND","Core model number 12 not listed on pak-electronics.pk"
"16","Haier","Air Conditioners","HSU-20HJ/013/23WUSDC(G)-T3 Plus","203390","","NOT_FOUND","Core model number 20 not listed on pak-electronics.pk"
"17","Haier","Air Conditioners","HSU-20HJUV/013/23WUSDC(G)-T3 Plus","184746","","NOT_FOUND","Core model number 20 not listed on pak-electronics.pk"
"18","Haier","Air Conditioners","HSU-20HFTEX/013/23/33WUSDC(OW)-T3 Plus","152542","","NOT_FOUND","Core model number 20 not listed on pak-electronics.pk"
"19","Haier","Air Conditioners","HSU-20HFTEX/013/23/33WUSDC(DG)-T3 Plus","155932","","NOT_FOUND","Core model number 20 not listed on pak-electronics.pk"
"20","Haier","Air Conditioners","HSU-19HFAB/013WUSDC(W)-T3 Pro","136864","","NOT_FOUND","Core model number 19 not listed on pak-electronics.pk"
"21","Haier","Air Conditioners","HSU-19HFAB/013/23WUSDC(Grey)-T3 Pro","141102","","NOT_FOUND","Core model number 19 not listed on pak-electronics.pk"
"22","Haier","Air Conditioners","HSU-19HFS/023WDC(S-G)-Super T3","138559","","NOT_FOUND","Core model number 19 not listed on pak-electronics.pk"
"23","Haier","Air Conditioners","HSU-19HFS/023WDC(W)-Super T3","134322","","NOT_FOUND","Core model number 19 not listed on pak-electronics.pk"
"24","Haier","Air Conditioners","HSU-19HFN/013WDC(W)-T3","126695","","NOT_FOUND","Core model number 19 not listed on pak-electronics.pk"
"25","Haier","Air Conditioners","HSU-19HFPAA/013/23/43WUSDC(G,S,B)-SG","122881","","NOT_FOUND","Core model number 19 not listed on pak-electronics.pk"
"26","Haier","Air Conditioners","HSU-19HFCS/CA/CP/013/23WDC(W)-SG","113136","","NOT_FOUND","Core model number 19 not listed on pak-electronics.pk"
"27","Haier","Air Conditioners","HSU-19RFP/013/23DC(W)","111441","","NOT_FOUND","Core model number 19 not listed on pak-electronics.pk"
"28","Haier","Air Conditioners","HSU-19LFCM/013/23USDC(W)","108051","","NOT_FOUND","Core model number 19 not listed on pak-electronics.pk"
"29","Haier","Air Conditioners","HSU-19LF-SUPREME/023DC(W)","108051","","NOT_FOUND","Core model number 19 not listed on pak-electronics.pk"
"30","Haier","Air Conditioners","HSU-19LF-PRIME/023DC(W)","108051","","NOT_FOUND","Core model number 19 not listed on pak-electronics.pk"
"31","Haier","Air Conditioners","HSU-18CFCP/023L(W)","98729","","NOT_FOUND","Core model number 18 not listed on pak-electronics.pk"
"32","Haier","Air Conditioners","HSU-24HFAB/013WUSDC(W)-T3 Pro","175424","","NOT_FOUND","Core model number 24 not listed on pak-electronics.pk"
"33","Haier","Air Conditioners","HSU-24HFAB/013WUSDC(Grey)-T3 Pro","180508","","NOT_FOUND","Core model number 24 not listed on pak-electronics.pk"
"34","Haier","Air Conditioners","HSU-24HFCD/013/23WDC(W)","164407","","NOT_FOUND","Core model number 24 not listed on pak-electronics.pk"
"35","Haier","Air Conditioners","HSU-24CFCM/023L(W)","139831","","NOT_FOUND","Core model number 24 not listed on pak-electronics.pk"
"36","Haier","Air Conditioners","HBU-18HE/DC 1.5 254,237","254237","","NOT_FOUND","Core model number 18 not listed on pak-electronics.pk"
"37","Haier","Air Conditioners","HBU-24HE/DC-QB-T3 2 372,881","372881","","NOT_FOUND","Core model number 24 not listed on pak-electronics.pk"
"38","Haier","Air Conditioners","Cool Only HBU-48CE/DC 4 508,475","508475","","NOT_FOUND","Core model number 48 not listed on pak-electronics.pk"
